01|003|031| 1|   |Menczer                                           |Erzsébet                                |0000195| 2|FIDESZ,KDNP                                                 
01|003|031| 2|Dr.|Orosz                                             |Sándor                                  |0000143| 1|MSZP                                                        
01|003|031| 3|   |Szabó                                             |Tímea                                   |0000037| 1|LEHET MÁS A POLITIKA                                        
01|003|032| 1|   |Menczer                                           |Erzsébet                                |0000206| 2|FIDESZ,KDNP                                                 
01|003|032| 2|Dr.|Orosz                                             |Sándor                                  |0000118| 1|MSZP                                                        
01|003|032| 3|   |Szabó                                             |Tímea                                   |0000022| 1|LEHET MÁS A POLITIKA                                        
01|003|033| 1|   |Menczer                                           |Erzsébet                                |0000199| 2|FIDESZ,KDNP                                                 
01|003|033| 2|Dr.|Orosz                                             |Sándor                                  |0000134| 1|MSZP                                                        
01|003|033| 3|   |Szabó                                             |Tímea                                   |0000022| 1|LEHET MÁS A POLITIKA                                        
01|003|034| 1|   |Menczer                                           |Erzsébet                                |0000222| 2|FIDESZ,KDNP                                                 
01|003|034| 2|Dr.|Orosz                                             |Sándor                                  |0000200| 1|MSZP                                                        
01|003|034| 3|   |Szabó                                             |Tímea                                   |0000040| 1|LEHET MÁS A POLITIKA                                        
01|003|035| 1|   |Menczer                                           |Erzsébet                                |0000165| 2|FIDESZ,KDNP                                                 
01|003|035| 2|Dr.|Orosz                                             |Sándor                                  |0000112| 1|MSZP                                                        
01|003|035| 3|   |Szabó                                             |Tímea                                   |0000029| 1|LEHET MÁS A POLITIKA                                        
01|003|036| 1|   |Menczer                                           |Erzsébet                                |0000197| 2|FIDESZ,KDNP                                                 
01|003|036| 2|Dr.|Orosz                                             |Sándor                                  |0000230| 1|MSZP                                                        
01|003|036| 3|   |Szabó                                             |Tímea                                   |0000034| 1|LEHET MÁS A POLITIKA                                        
01|003|037| 1|   |Menczer                                           |Erzsébet                                |0000169| 2|FIDESZ,KDNP                                                 
01|003|037| 2|Dr.|Orosz                                             |Sándor                                  |0000152| 1|MSZP                                                        
01|003|037| 3|   |Szabó                                             |Tímea                                   |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|038| 1|   |Menczer                                           |Erzsébet                                |0000170| 2|FIDESZ,KDNP                                                 
01|003|038| 2|Dr.|Orosz                                             |Sándor                                  |0000133| 1|MSZP                                                        
01|003|038| 3|   |Szabó                                             |Tímea                                   |0000039| 1|LEHET MÁS A POLITIKA                                        
01|003|039| 1|   |Menczer                                           |Erzsébet                                |0000216| 2|FIDESZ,KDNP                                                 
01|003|039| 2|Dr.|Orosz                                             |Sándor                                  |0000121| 1|MSZP                                                        
01|003|039| 3|   |Szabó                                             |Tímea                                   |0000046| 1|LEHET MÁS A POLITIKA                                        
01|003|040| 1|   |Menczer                                           |Erzsébet                                |0000173| 2|FIDESZ,KDNP                                                 
01|003|040| 2|Dr.|Orosz                                             |Sándor                                  |0000125| 1|MSZP                                                        
01|003|040| 3|   |Szabó                                             |Tímea                                   |0000026| 1|LEHET MÁS A POLITIKA                                        
01|003|041| 1|   |Menczer                                           |Erzsébet                                |0000183| 2|FIDESZ,KDNP                                                 
01|003|041| 2|Dr.|Orosz                                             |Sándor                                  |0000114| 1|MSZP                                                        
01|003|041| 3|   |Szabó                                             |Tímea                                   |0000030| 1|LEHET MÁS A POLITIKA                                        
01|003|042| 1|   |Menczer                                           |Erzsébet                                |0000167| 2|FIDESZ,KDNP                                                 
01|003|042| 2|Dr.|Orosz                                             |Sándor                                  |0000103| 1|MSZP                                                        
01|003|042| 3|   |Szabó                                             |Tímea                                   |0000042| 1|LEHET MÁS A POLITIKA                                        
01|003|043| 1|   |Menczer                                           |Erzsébet                                |0000130| 2|FIDESZ,KDNP                                                 
01|003|043| 2|Dr.|Orosz                                             |Sándor                                  |0000123| 1|MSZP                                                        
01|003|043| 3|   |Szabó                                             |Tímea                                   |0000027| 1|LEHET MÁS A POLITIKA                                        
01|003|044| 1|   |Menczer                                           |Erzsébet                                |0000180| 2|FIDESZ,KDNP                                                 
01|003|044| 2|Dr.|Orosz                                             |Sándor                                  |0000108| 1|MSZP                                                        
01|003|044| 3|   |Szabó                                             |Tímea                                   |0000023| 1|LEHET MÁS A POLITIKA                                        
01|003|045| 1|   |Menczer                                           |Erzsébet                                |0000248| 2|FIDESZ,KDNP                                                 
01|003|045| 2|Dr.|Orosz                                             |Sándor                                  |0000135| 1|MSZP                                                        
01|003|045| 3|   |Szabó                                             |Tímea                                   |0000077| 1|LEHET MÁS A POLITIKA                                        
01|003|046| 1|   |Menczer                                           |Erzsébet                                |0000176| 2|FIDESZ,KDNP                                                 
01|003|046| 2|Dr.|Orosz                                             |Sándor                                  |0000106| 1|MSZP                                                        
01|003|046| 3|   |Szabó                                             |Tímea                                   |0000032| 1|LEHET MÁS A POLITIKA                                        
01|003|047| 1|   |Menczer                                           |Erzsébet                                |0000229| 2|FIDESZ,KDNP                                                 
01|003|047| 2|Dr.|Orosz                                             |Sándor                                  |0000141| 1|MSZP                                                        
01|003|047| 3|   |Szabó                                             |Tímea                                   |0000040| 1|LEHET MÁS A POLITIKA                                        
01|003|048| 1|   |Menczer                                           |Erzsébet                                |0000186| 2|FIDESZ,KDNP                                                 
01|003|048| 2|Dr.|Orosz                                             |Sándor                                  |0000110| 1|MSZP                                                        
01|003|048| 3|   |Szabó                                             |Tímea                                   |0000046| 1|LEHET MÁS A POLITIKA                                        
01|003|049| 1|   |Menczer                                           |Erzsébet                                |0000220| 2|FIDESZ,KDNP                                                 
01|003|049| 2|Dr.|Orosz                                             |Sándor                                  |0000115| 1|MSZP                                                        
01|003|049| 3|   |Szabó                                             |Tímea                                   |0000033| 1|LEHET MÁS A POLITIKA                                        
01|003|050| 1|   |Menczer                                           |Erzsébet                                |0000232| 2|FIDESZ,KDNP                                                 
01|003|050| 2|Dr.|Orosz                                             |Sándor                                  |0000095| 1|MSZP                                                        
