01|021|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|021|4|Kompenzációs lista            |  5|CIVIL MOZGALOM                |  0|  0|
01|021|4|Kompenzációs lista            |  6|LMP                           |  1|  0|
01|022|4|Kompenzációs lista            |  1|JOBBIK                        |  1|  0|
01|022|4|Kompenzációs lista            |  2|IPARTESTÜLET                  |  1|  0|
01|022|4|Kompenzációs lista            |  3|BARÁTI KÖRÖK                  |  1|  0|
01|022|4|Kompenzációs lista            |  4|FIDESZ-KDNP                   |  0|  0|
01|022|4|Kompenzációs lista            |  5|MSZP                          |  2|  0|
01|023|4|Kompenzációs lista            |  1|LMP                           |  0|  0|
01|023|4|Kompenzációs lista            |  2|FIDESZ                        |  1|  0|
01|023|4|Kompenzációs lista            |  3|JOBBIK                        |  0|  0|
01|023|4|Kompenzációs lista            |  4|MSZP                          |  1|  0|
01|023|4|Kompenzációs lista            |  5|Civil Egyesület               |  1|  0|
02|137|4|Kompenzációs lista            |  1|ZÖLD BALOLDAL                 |  0|  0|
02|137|4|Kompenzációs lista            |  2|KPK                           |  1|  0|
02|137|4|Kompenzációs lista            |  3|CITE                          |  0|  0|
02|137|4|Kompenzációs lista            |  4|HONISMERETI ÉS VÁROSSZÉPÍTŐ E.|  1|  0|
02|137|4|Kompenzációs lista            |  5|FIDESZ-KDNP                   |  0|  0|
02|137|4|Kompenzációs lista            |  6|JOBBIK                        |  1|  0|
02|137|4|Kompenzációs lista            |  7|MSZP                          |  1|  0|
02|181|4|Kompenzációs lista            |  1|FIDESZ-KDNP                   |  0|  0|
02|181|4|Kompenzációs lista            |  2|MSZP                          |  1|  0|
02|181|4|Kompenzációs lista            |  3|MUNKÁSPÁRT                    |  0|  0|
02|181|4|Kompenzációs lista            |  4|JOBBIK                        |  2|  0|
02|217|4|Kompenzációs lista            |  1|LMP                           |  2|  0|
02|217|4|Kompenzációs lista            |  2|FIDESZ                        |  0|  0|
02|217|4|Kompenzációs lista            |  3|JOBBIK                        |  2|  0|
02|217|4|Kompenzációs lista            |  4|MSZP                          |  4|  0|
02|234|4|Kompenzációs lista            |  1|MSZP                          |  1|  0|
02|234|4|Kompenzációs lista            |  2|KAPOCS                        |  1|  0|
