01|BUDAPEST                 |08208|BUDAPEST          16|FIDESZ - SZDSZ                |       |005            
01|BUDAPEST                 |08208|BUDAPEST          16|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |005            
01|BUDAPEST                 |08208|BUDAPEST          16|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |004            
01|BUDAPEST                 |08208|BUDAPEST          16|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |02112|BUDAPEST          17|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |02112|BUDAPEST          17|SZABADDEMOKRATÁK SZÖVETSÉGE - |       |009            
01|BUDAPEST                 |02112|BUDAPEST          17|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |02112|BUDAPEST          17|MAGYAR DEMOKRATA FÓRUM        |       |004            
01|BUDAPEST                 |02112|BUDAPEST          17|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |02112|BUDAPEST          17|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |29285|BUDAPEST          18|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYAR DEMOKRATA FÓRUM        |       |007            
01|BUDAPEST                 |29285|BUDAPEST          18|FÜGGETLEN JELÖLT              |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|SZDSZ - FIDESZ                |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |002            
01|BUDAPEST                 |29285|BUDAPEST          18|FIDESZ - SZDSZ                |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MDF - FKGP - KDNP             |       |001            
01|BUDAPEST                 |29285|BUDAPEST          18|MAGYARORSZÁGI ZÖLD PÁRT       |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |04011|BUDAPEST          19|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |007            
01|BUDAPEST                 |04011|BUDAPEST          19|SZDSZ - FIDESZ                |       |006            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR DEMOKRATA FÓRUM        |       |005            
01|BUDAPEST                 |04011|BUDAPEST          19|FIDESZ - SZDSZ                |       |003            
01|BUDAPEST                 |04011|BUDAPEST          19|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR POLGÁRI UNIÓ           |       |001            
01|BUDAPEST                 |04011|BUDAPEST          19|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |06026|BUDAPEST          20|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |013            
01|BUDAPEST                 |06026|BUDAPEST          20|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |009            
01|BUDAPEST                 |06026|BUDAPEST          20|MAGYAR DEMOKRATA FÓRUM        |       |009            
01|BUDAPEST                 |06026|BUDAPEST          20|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |002            
01|BUDAPEST                 |06026|BUDAPEST          20|FÜGGETLEN JELÖLT              |       |001            
01|BUDAPEST                 |06026|BUDAPEST          20|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |13189|BUDAPEST          21|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |011            
01|BUDAPEST                 |13189|BUDAPEST          21|SZABADDEM. SZÖVETSÉGE - FIATAL|       |009            
01|BUDAPEST                 |13189|BUDAPEST          21|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |008            
01|BUDAPEST                 |13189|BUDAPEST          21|MAGYAR DEMOKRATA FÓRUM        |       |003            
01|BUDAPEST                 |13189|BUDAPEST          21|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |001            
01|BUDAPEST                 |13189|BUDAPEST          21|MAGYAR SZOCIALISTA MUNKÁSPÁRT |       |001            
01|BUDAPEST                 |13189|BUDAPEST          21|MAGYAR SZOCIALISTA PÁRT       |       |001            
01|BUDAPEST                 |13189|BUDAPEST          21|MDF - KDNP - SZDSZ - FIDESZ   |       |001            
01|BUDAPEST                 |10214|BUDAPEST          22|FIATAL DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |10214|BUDAPEST          22|SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |010            
01|BUDAPEST                 |10214|BUDAPEST          22|MAGYAR DEMOKRATA FÓRUM        |       |006            
01|BUDAPEST                 |10214|BUDAPEST          22|KERESZTÉNYDEMOKRATA NÉPPÁRT   |       |003            
01|BUDAPEST                 |10214|BUDAPEST          22|FÜGGETLEN JELÖLT              |       |001            
01|BUDAPEST                 |10214|BUDAPEST          22|MAGYAR SZOCIALISTA PÁRT       |       |001            
02|BARANYA                  |12548|ABALIGET            |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |06868|ADORJÁS             |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |25812|ÁG                  |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |13329|ALMAMELLÉK          |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |13329|ALMAMELLÉK          |AGRÁRSZÖVETSÉG                |       |001            
02|BARANYA                  |20376|ALMÁSKERESZTÚR      |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |17385|ALSÓMOCSOLÁD        |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |33279|ALSÓSZENTMÁRTON     |FÜGGETLEN JELÖLT              |       |006            
02|BARANYA                  |33279|ALSÓSZENTMÁRTON     |MAGYAR CIGÁNYOK DEMOKRATIKUS S|Bolgár |001            
02|BARANYA                  |27298|APÁTVARASD          |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |06886|ARANYOSGADÁNY       |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |28583|ÁTA                 |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |05403|BABARC              |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |09663|BABARCSZÕLÕS        |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |09663|BABARCSZÕLÕS        |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |22275|BAKÓCA              |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |22275|BAKÓCA              |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |08299|BAKONYA             |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |03975|BAKSA               |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |07603|BÁNFA               |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |24378|BÁR                 |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |24378|BÁR                 |AGRÁRSZÖVETSÉG                |       |002            
02|BARANYA                  |24378|BÁR                 |FÜGGETLEN JELÖLT              |Horvát |001            
02|BARANYA                  |20464|BARANYAHIDVÉG       |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |24749|BARANYAJENÕ         |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |05485|BARANYASZENTGYÖRGY  |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |15495|BASAL               |FÜGGETLEN JELÖLT              |       |003            
02|BARANYA                  |19008|BELVÁRDGYULA        |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |19008|BELVÁRDGYULA        |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |31927|BEREMEND            |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |31927|BEREMEND            |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |002            
02|BARANYA                  |31927|BEREMEND            |FÜGGETLEN JELÖLT              |Görög  |001            
02|BARANYA                  |31927|BEREMEND            |FÜGGETLEN JELÖLT              |Horvát |001            
02|BARANYA                  |31927|BEREMEND            |MAGYAR DEMOKRATA FÓRUM        |       |001            
02|BARANYA                  |16461|BERKESD             |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |30049|BESENCE             |FÜGGETLEN JELÖLT              |       |002            
02|BARANYA                  |30049|BESENCE             |SZABAD DEMOKRATÁK SZÖVETSÉGE  |       |001            
02|BARANYA                  |14119|BEZEDEK             |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |13310|BICSÉRD             |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |04899|BIKAL               |FÜGGETLEN JELÖLT              |       |007            
02|BARANYA                  |05139|BIRJÁN              |FÜGGETLEN JELÖLT              |       |004            
02|BARANYA                  |05139|BIRJÁN              |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |001            
02|BARANYA                  |24925|BISSE               |FÜGGETLEN KISGAZDA FÖLDMUNKÁS |       |002            
02|BARANYA                  |24925|BISSE               |FÜGGETLEN JELÖLT              |       |001            
02|BARANYA                  |20899|BODA                |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |33002|BODOLYABÉR          |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |32151|BOGÁD               |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |21892|BOGÁDMINDSZENT      |FÜGGETLEN JELÖLT              |       |005            
02|BARANYA                  |10694|BOGDÁSA             |FÜGGETLEN JELÖLT              |       |005            
