02|BARANYA                  |FEKED               |    |TILLMANN JÓZSEF                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |FELSŐEGERSZEG       |    |PAPP MAGDOLNA JOLÁN                 |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |FELSŐSZENTMÁRTON    |    |LANTOS MIHÁLY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GARÉ                |    |LOWESCHER JÁNOS                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GERDE               |    |BEKE BÉLA                           |FKGP-MDF-KDNP                                             
02|BARANYA                  |GERÉNYES            |    |JÓNÁS ISTVÁN                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GERESDLAK           |    |KISS GYÖRGY                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GORDISA             |    |BULLA IMRE                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖDRE               |    |KOHNER MIHÁLY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖRCSÖNY            |    |BARNA LÁSZLÓ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GÖRCSÖNYDOBOKA      |    |TROSZT JÓZSEF                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GYÓD                |IFJ.|SCHMIDT FERENC                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GYÖNGYFA            |    |KOVÁCSEVICS LÁSZLÓ                  |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |GYÖNGYÖSMELLÉK      |    |TÓTH JÓZSEF                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HARKÁNY             |    |BÉDY ISTVÁN                         |FKGP-SZDSZ                                                
02|BARANYA                  |HÁSSÁGY             |    |WILHELM FÜLÖP                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HEGYHÁTMARÓC        |    |BORBÉLY LAJOS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HEGYSZENTMÁRTON     |    |JAKAB GÉZÁNÉ                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HELESFA             |    |GONDOS GYULA                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HETVEHELY           |    |WÁGNER ANTAL                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HIDAS               |    |VAJDA PÉTERNÉ                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HIMESHÁZA           |    |HÜBNER GYÖRGY                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HIRICS              |    |BÖDE LAJOS                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HOMORÚD             |    |BRÉVAI JÁNOSNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HORVÁTHERTELEND     |    |RÓZSA MENYHÉRT                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |HOSSZÚHETÉNY        |    |NÁDOR RUDOLFNÉ                      |FIATAL DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |HUSZTÓT             |    |SZILÁGYI JÓZSEF                     |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |IBAFA               |    |ARNOLD PÉTERNÉ                      |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |ILLOCSKA            |    |JUHOS JÓZSEF                        |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |IPACSFA             |    |ÓZDI LAJOS                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |IVÁNBATTYÁN         |    |KERESZTES LÁSZLÓ                    |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |IVÁNDÁRDA           |IFJ.|MOÓR JÁNOS                          |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KACSÓTA             |    |PAPP ZOLTÁN                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÁKICS              |    |BÓDIS JÁNOS                         |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÁRÁSZ              |    |NÉMETH KÁROLY                       |SZDSZ - FKGP - FALUSZÉPÍTŐ EGY                            
02|BARANYA                  |KÁSÁD               |    |TRUBICS JÁNOS                       |SZABAD DEMOKRATÁK SZÖVETSÉGE                              
02|BARANYA                  |KATÁDFA             |    |GÖLLÉNY JÁNOS                       |FÜGGETLEN JELÖLT                                          
02|BARANYA                  |KÁTOLY              |    |KOLLÁR JÁNOS                        |FÜGGETLEN JELÖLT                                          
