09| 5|KERESZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                             |0000158|01|KERESZTÉNYDEMOKRATAPÁRT                                     
09| 6|MAGYAR SZOCIALISTA PÁRT                                                                     |0109561|01|MSZP                                                        
09| 7|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0010891|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
09| 8|MAGYAR DEMOKRATA FÓRUM                                                                      |0014830|01|MDF                                                         
09| 9|CENTRUM ÖSSZEFOGÁS MAGYARORSZÁGÉRT                                                          |0001635|01|CENTRUM                                                     
09|10|FÜGGETLEN KISGAZDA FÖLDMUNKÁS ÉS POLGÁRI PÁRT                                               |0000321|01|FÜGGETLEN KISGAZDAPÁRT                                      
10| 1|KERESZTÉNYDEMOKRATAPÁRT KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                              |0000280|01|KERESZTÉNYDEMOKRATAPÁRT                                     
10| 2|ZÖLDEK PÁRTJA                                                                               |0000650|01|ZÖLDEK PÁRTJA                                               
10| 3|MAGYAR VIDÉK ÉS POLGÁRI PÁRT                                                                |0000227|01|MVPP                                                        
10| 4|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0008736|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
10| 5|MCF ROMA ÖSSZEFOGÁS PÁRT                                                                    |0000546|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
10| 6|FÜGGETLEN KISGAZDA -, NEMZETI EGYSÉG PÁRT                                                   |0000153|01|FÜGGETLEN KISGAZDA NEMZETI E.P                              
10| 7|MAGYAR SZOCIALISTA PÁRT                                                                     |0083814|01|MSZP                                                        
10| 8|FIDESZ-MagyarPolgári Szövetség KERESZTÉNYDEMOKRATA NÉPPÁRT                                  |0063320|02|FIDESZ,KDNP                                                 
10| 9|MAGYAR DEMOKRATA FÓRUM                                                                      |0007560|01|MDF                                                         
10|10|MIÉP-JOBBIK A HARMADIK ÚT                                                                   |0005115|01|MIÉP-Jobbik                                                 
11| 1|FIDESZ-Magyar Polgári Szövetség KERESZTÉNYDEMOKRATA NÉPPÁRT                                 |0080373|02|FIDESZ,KDNP                                                 
11| 2|MCF ROMA ÖSSZEFOGÁS PÁRT                                                                    |0000224|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
11| 3|MAGYAR SZOCIALISTA PÁRT                                                                     |0095042|01|MSZP                                                        
11| 4|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0002640|01|MUNKÁSPÁRT                                                  
11| 5|MAGYAR DEMOKRATA FÓRUM                                                                      |0010003|01|MDF                                                         
11| 6|SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT                                        |0009761|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
11| 7|MIÉP-Jobbik a Harmadik Út                                                                   |0004183|01|MIÉP-Jobbik                                                 
12| 1|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0001212|01|MUNKÁSPÁRT                                                  
12| 2|MAGYAR DEMOKRATA FÓRUM                                                                      |0007512|01|MDF                                                         
12| 3|FIDESZ-MAGYARPOLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT                                  |0064094|02|FIDESZ,KDNP                                                 
12| 4|MIÉP-JOBBIK A HARMADIK ÚT                                                                   |0002526|01|MIÉP-Jobbik                                                 
12| 5|SZABAD DEMOKRATÁK SZÖVETSÉGE- A MAGYAR LIBERÁLIS PÁRT                                       |0010560|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
12| 6|MAGYAR SZOCIALISTA PÁRT                                                                     |0082836|01|MSZP                                                        
13| 1|FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT                               |0046902|02|FIDESZ,KDNP                                                 
13| 2|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0004900|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
13| 3|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0001809|01|MUNKÁSPÁRT                                                  
13| 4|MCF ROMA ÖSSZEFOGÁS PÁRT                                                                    |0001053|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
13| 5|KERESZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                             |0000241|01|KERESZTÉNYDEMOKRATAPÁRT                                     
13| 6|MAGYAR DEMOKRATA FÓRUM                                                                      |0005369|01|MDF                                                         
13| 7|MIÉP - JOBBIK A HARMADIK ÚT                                                                 |0002466|01|MIÉP-Jobbik                                                 
13| 8|MAGYAR SZOCIALISTA PÁRT                                                                     |0050732|01|MSZP                                                        
13| 9|CENTRUM ÖSSZEFOGÁS MAGYARORSZÁGÉRT                                                          |0000753|01|CENTRUM                                                     
14| 1|CENTRUM Összefogás Magyarországért                                                          |0006302|01|CENTRUM                                                     
14| 2|FIDESZ Magyar Polgári Szövetség Kersztény Demokrata Néppárt                                 |0258007|02|FIDESZ,KDNP                                                 
14| 3|MAGYAR DEMOKRATA FORUM                                                                      |0031937|01|MDF                                                         
14| 4|Szabad Demokraták Szövetsége                                                                |0045562|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
14| 5|Magyar Szocialista Párt                                                                     |0253588|01|MSZP                                                        
14| 6|MIÉP-Jobbik a Harmadik Út                                                                   |0018074|01|MIÉP-Jobbik                                                 
15| 1|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0006929|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
15| 2|MAGYAR DEMOKRATA FÓRUM                                                                      |0007168|01|MDF                                                         
15| 3|MIÉP-Jobbik a Harmadik Út                                                                   |0002811|01|MIÉP-Jobbik                                                 
15| 4|MAGYAR KOMMUNISTA MUNKÁSPÁRT                                                                |0001166|01|MUNKÁSPÁRT                                                  
15| 5|MAGYAR SZOCIALISTA PÁRT                                                                     |0073388|01|MSZP                                                        
15| 6|FIDESZ-MagyarPolgári Szövetség Kereszténydemokrata Néppárt                                  |0080260|02|FIDESZ,KDNP                                                 
16| 1|MAGYAROK EGYMÁSÉRT SZÖVETSÉGE                                                               |0000767|01|MESZ                                                        
16| 2|MIÉP-Jobbik a Harmadik Út                                                                   |0004735|01|MIÉP-Jobbik                                                 
16| 3|MAGYAR DEMOKRATA FÓRUM                                                                      |0011947|01|MDF                                                         
16| 4| MAGYAR SZOCIALISTA PÁRT                                                                    |0130555|01|MSZP                                                        
16| 5|MCF ROMA ÖSSZEFOGÁS PÁRT                                                                    |0000430|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
16| 6|FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt                                 |0127641|02|FIDESZ,KDNP                                                 
16| 7|KERESSZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS                            |0000281|01|KERESZTÉNYDEMOKRATAPÁRT                                     
16| 8|SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT                                      |0009455|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
16| 9|MAGYAR VIDÉK ÉS POLGÁRI PÁRT                                                                |0000310|01|MVPP                                                        
16|11|CENTRUM ÖSSZEFOGÁS MAGYARORSZÁGÉRT                                                          |0001018|01|CENTRUM                                                     
17| 1|MCF Roma Összefogás Párt                                                                    |0000355|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
17| 2|Szabad Demokraták Szövetsége- a Magyar Liberális Párt                                       |0005966|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
