01|19| 1|   |Horn                                              |Gábor                                   |0004883|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|19| 2|Dr.|Kosztolányi                                       |Dénes                                   |0008196|02|FIDESZ,KDNP                                                 
01|19| 3|   |Oláh                                              |János József                            |0000660|01|MIÉP-Jobbik                                                 
01|19| 4|Dr.|Szanyi                                            |Tibor                                   |0014068|01|MSZP                                                        
01|19| 5|   |Varga                                             |Zalán                                   |0001284|01|MDF                                                         
01|20| 1|   |Dancsecs                                          |György                                  |0000844|01|MIÉP-Jobbik                                                 
01|20| 2|   |Flórián                                           |Antalné                                 |0001005|01|MDF                                                         
01|20| 3|   |Kollát                                            |Pál                                     |0000203|01|MUNKÁSPÁRT                                                  
01|20| 4|Dr.|Rétvári                                           |Bence                                   |0007479|02|FIDESZ,KDNP                                                 
01|20| 5|   |Szabadai                                          |Viktor                                  |0002187|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|20| 6|Dr.|Tóth                                              |József                                  |0015886|01|MSZP                                                        
01|21| 1|Dr.|Baráth                                            |Etele                                   |0013974|01|MSZP                                                        
01|21| 2|Dr.|Magyar                                            |Bálint                                  |0004548|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|21| 3|   |Rátonyi                                           |Gábor                                   |0013847|02|FIDESZ,KDNP                                                 
01|21| 4|   |Seres                                             |András                                  |0001558|01|MDF                                                         
01|22| 1|   |Bárándi                                           |Zoltán                                  |0001802|01|MDF                                                         
01|22| 2|Dr.|Csiha                                             |Judit                                   |0017784|01|MSZP                                                        
01|22| 3|   |Czeglédi                                          |János                                   |0001083|01|MIÉP-Jobbik                                                 
01|22| 4|   |Kulcsár                                           |József                                  |0011807|02|FIDESZ,KDNP                                                 
01|22| 5|Dr.|Molnár                                            |Lajos                                   |0004280|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|23| 1|   |Hajdu                                             |László                                  |0018747|01|MSZP                                                        
01|23| 2|   |László                                            |Tamás                                   |0009633|02|FIDESZ,KDNP                                                 
01|23| 3|   |Máté                                              |Gyula                                   |0001965|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|23| 4|   |Szabó                                             |István Pál                              |0000864|01|MIÉP-Jobbik                                                 
01|23| 5|Dr.|Varga                                             |Pál                                     |0001387|01|MDF                                                         
01|24| 1|   |Kovács                                            |Attila                                  |0002608|01|MDF                                                         
01|24| 2|   |Szabó                                             |Imre Gábor                              |0003205|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|24| 3|   |Tirts                                             |Tamás                                   |0016766|02|FIDESZ,KDNP                                                 
01|24| 4|Dr.|Vidorné Dr. Szabó                                 |Györgyi                                 |0019668|01|MSZP                                                        
01|24| 5|   |Zsinka                                            |László                                  |0001611|01|MIÉP-Jobbik                                                 
01|25| 1|   |Alexa                                             |György                                  |0021271|01|MSZP                                                        
01|25| 2|   |Barna                                             |Andor                                   |0004133|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|25| 3|Dr.|Farkas                                            |Tibor István                            |0002029|01|MDF                                                         
01|25| 4|Dr.|Fenke                                             |Ferenc                                  |0001281|01|MIÉP-Jobbik                                                 
01|25| 5|Dr.|Kertai                                            |Aurél                                   |0001177|01|CENTRUM                                                     
01|25| 6|   |Kovács                                            |István                                  |0001229|00|Független jelölt                                            
01|25| 7|   |Riz                                               |Levente                                 |0017085|02|FIDESZ,KDNP                                                 
01|25| 8|   |Végh                                              |Ferenc                                  |0000298|01|MUNKÁSPÁRT                                                  
01|26| 1|   |Béki                                              |Gabriella                               |0002220|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|26| 2|   |Chrobák                                           |János                                   |0000746|01|MIÉP-Jobbik                                                 
01|26| 3|   |Csatlós                                           |Csaba                                   |0001211|01|MDF                                                         
01|26| 4|   |Kerezsi                                           |László                                  |0000221|01|MUNKÁSPÁRT                                                  
01|26| 5|   |Kucsák                                            |László                                  |0009356|02|FIDESZ,KDNP                                                 
01|26| 6|   |Simon                                             |Gábor                                   |0015242|01|MSZP                                                        
01|27| 1|   |Csepeli                                           |Zsuzsanna                               |0000336|01|MUNKÁSPÁRT                                                  
01|27| 2|   |Ferencz                                           |István                                  |0002801|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|27| 3|   |Gönczöl                                           |András                                  |0000913|01|MIÉP-Jobbik                                                 
01|27| 4|   |Katona                                            |László                                  |0001772|01|MDF                                                         
01|27| 5|Dr.|Mester                                            |László                                  |0021072|01|MSZP                                                        
01|27| 6|   |Ughy                                              |Attila                                  |0013426|02|FIDESZ,KDNP                                                 
01|28| 1|   |Balázs                                            |László                                  |0000792|01|MIÉP-Jobbik                                                 
01|28| 2|   |Burány                                            |Sándor                                  |0018837|01|MSZP                                                        
01|28| 3|   |Hüttener                                          |László                                  |0000280|01|MUNKÁSPÁRT                                                  
01|28| 4|Dr.|Kóródi                                            |Mária                                   |0002961|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|28| 5|   |Nagy                                              |Tamás                                   |0001677|01|MDF                                                         
01|28| 6|   |Sztankovánszki                                    |Tibor                                   |0000076|01|SZOCIÁLDEMOKRATA PÁRT                                       
01|28| 7|Dr.|Tarnai                                            |Richárd                                 |0011681|02|FIDESZ,KDNP                                                 
01|29| 1|   |Deli                                              |Károly                                  |0000951|01|MIÉP-Jobbik                                                 
01|29| 2|   |Földesi                                           |Gyula                                   |0010711|02|FIDESZ,KDNP                                                 
01|29| 3|   |Gál                                               |Szabolcs                                |0002055|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|29| 4|   |Hardy                                             |László                                  |0001772|01|MDF                                                         
01|29| 5|   |Hiller                                            |István                                  |0018687|01|MSZP                                                        
01|30| 1|Dr.|Bakos                                             |Mariann                                 |0000628|01|CENTRUM                                                     
01|30| 2|   |Bauer                                             |Tamás                                   |0001653|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|30| 3|   |Horváth                                           |József                                  |0005811|02|FIDESZ,KDNP                                                 
01|30| 4|   |Németh                                            |Ferenc                                  |0000965|01|MDF                                                         
01|30| 5|   |Podolák                                           |György                                  |0011519|01|MSZP                                                        
01|30| 6|Dr.|Thürmer                                           |Gyula                                   |0000412|01|MUNKÁSPÁRT                                                  
01|31| 1|Dr.|Avarkeszi                                         |Dezsõ                                   |0012102|01|MSZP                                                        
01|31| 2|Dr.|Bakai                                             |László                                  |0001107|01|MDF                                                         
01|31| 3|Dr.|Eörsi                                             |Mátyás                                  |0001946|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|31| 4|   |Németh                                            |Szilárd                                 |0006823|02|FIDESZ,KDNP                                                 
01|31| 5|Dr.|Szabó                                             |Zsoltné                                 |0000674|01|CENTRUM                                                     
01|32| 1|Dr.|Lányi                                             |István                                  |0002681|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
01|32| 2|   |Lendvai                                           |Ildikó                                  |0014741|01|MSZP                                                        
01|32| 3|   |Németh                                            |Zoltán                                  |0013299|02|FIDESZ,KDNP                                                 
01|32| 4|   |Staudt                                            |Gábor                                   |0001113|01|MIÉP-Jobbik                                                 
02|01| 1|   |Baranyai                                          |József                                  |0000178|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02|01| 2|   |Bókay                                             |Endre                                   |0017747|01|MSZP                                                        
02|01| 3|Dr.|Füredi                                            |Péter                                   |0001769|01|MDF                                                         
02|01| 4|   |Körömi                                            |Attila                                  |0000682|00|Független jelölt                                            
02|01| 5|Dr.|Páva                                              |Zsolt                                   |0013789|02|FIDESZ,KDNP                                                 
02|01| 6|   |Pörös                                             |Béla                                    |0001769|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02|02| 1|Dr.|Borhidi                                           |Attila                                  |0011169|02|FIDESZ,KDNP                                                 
02|02| 2|   |Bottlik                                           |Sándor                                  |0000432|01|MIÉP-Jobbik                                                 
02|02| 3|   |Horváth                                           |Zoltán                                  |0001908|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02|02| 4|   |Kalányos                                          |Erika                                   |0000122|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02|02| 6|   |Pap                                               |András                                  |0001305|01|MDF                                                         
02|02| 7|Dr.|Szili                                             |Katalin                                 |0015712|01|MSZP                                                        
02|03| 1|   |Hangya                                            |Antal                                   |0000125|01|MVPP                                                        
02|03| 2|Dr.|Jegesy                                            |Andrea                                  |0000305|01|MUNKÁSPÁRT 2006                                             
02|03| 3|   |Metzing                                           |József                                  |0001884|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02|03| 4|   |Orsós                                             |József                                  |0000179|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02|03| 5|Dr.|Ternák                                            |Gábor                                   |0010047|02|FIDESZ,KDNP                                                 
02|03| 6|Dr.|Toller                                            |László                                  |0020276|01|MSZP                                                        
02|03| 7|   |Várbiró                                           |Péter                                   |0001509|01|MDF                                                         
02|04| 1|   |Deák                                              |Imre                                    |0000323|01|MUNKÁSPÁRT 2006                                             
02|04| 2|   |Kincses                                           |Sándor                                  |0000183|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02|04| 3|   |Ordas                                             |Miklós                                  |0001054|01|MDF                                                         
02|04| 4|   |Páva                                              |Zoltán                                  |0016412|01|MSZP                                                        
02|04| 5|   |Polics                                            |József                                  |0010165|02|FIDESZ,KDNP                                                 
02|04| 6|   |Rupa                                              |Istvánné                                |0000189|01|MUNKÁSPÁRT                                                  
02|04| 7|   |Szigeti                                           |Szabolcs                                |0001513|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02|05| 1|   |Batánovics                                        |László                                  |0000309|01|MCF ROMA ÖSSZEFOGÁS PÁRT                                    
02|05| 2|Dr.|Habjánecz                                         |Tibor                                   |0001841|01|MDF                                                         
02|05| 3|Dr.|Hargitai                                          |János                                   |0017153|02|FIDESZ,KDNP                                                 
02|05| 4|   |Havasi                                            |László                                  |0000229|01|MUNKÁSPÁRT                                                  
02|05| 5|Dr.|Nyul                                              |István                                  |0011698|01|MSZP                                                        
02|05| 6|Dr.|Schwalm                                           |Mária                                   |0000402|01|KERESZTÉNYDEMOKRATAPÁRT                                     
02|05| 7|Dr.|Wekler                                            |Ferenc                                  |0003131|01|SZDSZ-A MAGYAR LIBERÁLIS PÁRT                               
02|06| 1|   |Adószegi                                          |Zoltán                                  |0000095|01|ZÖLDEK SZÖVETSÉGE                                           
02|06| 2|   |Béda                                              |Pál                                     |0000163|01|MVPP                                                        
02|06| 3|   |Burai                                             |Béla Ferenc                             |0000175|01|KERESZTÉNYDEMOKRATAPÁRT                                     
02|06| 4|   |Kékkõi                                            |Zoltán József                           |0012008|02|FIDESZ,KDNP                                                 
02|06| 5|   |Kocsi                                             |László                                  |0011492|01|MSZP                                                        
02|06| 6|Dr.|Marenics                                          |János                                   |0003923|01|MDF                                                         
