01|25| 1|   |Alexa                                             |György                                  |0009681| 1|MSZP                                                        
01|25| 2|   |Berze                                             |Márton                                  |0004035| 1|LEHET MÁS A POLITIKA                                        
01|25| 3|Dr.|Farkas                                            |Tibor                                   |0001292| 1|MDF                                                         
01|25| 4|   |Kovács                                            |István                                  |0001184| 0|Független jelölt                                            
01|25| 5|   |Riz                                               |Levente                                 |0027457| 2|FIDESZ,KDNP                                                 
01|25| 6|   |Szilágyi                                          |György                                  |0004653| 1|Jobbik                                                      
01|26| 1|   |Kucsák                                            |László                                  |0013631| 2|FIDESZ,KDNP                                                 
01|26| 2|   |Makai                                             |Tibor                                   |0003831| 1|Jobbik                                                      
01|26| 3|   |Simon                                             |Gábor                                   |0010230| 1|MSZP                                                        
01|27| 1|   |Ferencz                                           |István                                  |0001302| 2|MDF,SZDSZ                                                   
01|27| 2|   |Gönczöl                                           |András                                  |0004554| 1|Jobbik                                                      
01|27| 3|Dr.|Mester                                            |László                                  |0010959| 1|MSZP                                                        
01|27| 4|   |Scheiring                                         |Gábor                                   |0003835| 1|LEHET MÁS A POLITIKA                                        
01|27| 5|   |Ughy                                              |Attila                                  |0017401| 2|FIDESZ,KDNP                                                 
01|28| 1|   |Burány                                            |Sándor                                  |0009665| 1|MSZP                                                        
01|28| 2|   |Faith                                             |Balázs                                  |0003731| 1|LEHET MÁS A POLITIKA                                        
01|28| 3|   |Põsze                                             |Lajos                                   |0003879| 1|Jobbik                                                      
01|28| 4|   |Ritter                                            |János                                   |0001030| 2|MDF,SZDSZ                                                   
01|28| 5|Dr.|Tarnai                                            |Richárd                                 |0014872| 2|FIDESZ,KDNP                                                 
01|29| 1|   |Balog                                             |Barna                                   |0004697| 1|Jobbik                                                      
01|29| 2|   |Földesi                                           |Gyula                                   |0015060| 2|FIDESZ,KDNP                                                 
01|29| 3|   |Hardy                                             |László                                  |0002053| 1|MDF                                                         
01|29| 4|Dr.|Hiller                                            |István                                  |0009615| 1|MSZP                                                        
01|30| 1|   |Borbély                                           |Lénárd                                  |0009181| 2|FIDESZ,KDNP                                                 
01|30| 2|   |Nagy                                              |Ferenc                                  |0003179| 1|Jobbik                                                      
01|30| 3|   |Podolák                                           |György                                  |0006644| 1|MSZP                                                        
01|31| 1|Dr.|Avarkeszi                                         |Dezsõ                                   |0005939| 1|MSZP                                                        
01|31| 2|   |Hegedûs                                           |Tamás Mihály                            |0002709| 1|Jobbik                                                      
01|31| 3|   |Hudák                                             |János                                   |0002955| 1|LEHET MÁS A POLITIKA                                        
01|31| 4|   |Németh                                            |Szilárd                                 |0009102| 2|FIDESZ,KDNP                                                 
01|32| 1|   |Iván                                              |János                                   |0001515| 2|MDF,SZDSZ                                                   
