01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00068184|02|    BURKA ERZSÉBET                      |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|1|nyert                         |00000485
01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00033286|03|    DANÓ JENŐ                           |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|1|nyert                         |00000435
01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00071496|04|    KOZMA BLANKA                        |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|1|nyert                         |00000480
01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00018311|05|    NÉMETH BÉLA                         |000000|FÜGGETLEN                     |1|nyert                         |00000927
01|BUDAPEST  |005|BUDAPEST          05|00000002|CIGÁNY                        |00031000|06|    SZÓRÁDI GYULA                       |010140|ROMA MUNKAADÓK ÉS M.VÁLL.SZÖV.|3|nem nyert                     |00000346
01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00023164|01|    AVANESIAN ALEXAN                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000942
01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00005443|02|    BALABANIAN MARTIOUN                 |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000555
01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00022272|03|    BENKŐ DÁNIEL                        |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00001385
01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00015825|04|    MOLDOVÁN DOMOKOS                    |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000914
01|BUDAPEST  |005|BUDAPEST          05|00000007|ÖRMÉNY                        |00018500|05|    SIMON J.ZAVEN                       |000065|ARMÉNIA NÉPE KULT. EGYESÜLET  |1|nyert                         |00000546
