01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |067|    ROZSAY ÉVA                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |068|    KUN LÁSZLÓ                          |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |069|    CSEH ATTILA                         |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |070|DR  SZILI JÓZSEF                        |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |071|    BUGRAM GÁBORNÉ                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |072|    PETRÁS JÓZSEF                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |073|    ANTOSIK FERENC                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |074|    FÖLDES ANDRÁS                       |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |075|    PAPP GYÖRGY LÁSZLÓ                  |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |076|    SOMOGYI ZOLTÁN                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |077|    MARGITTAI EDIT                      |3|nem nyert
01|BUDAPEST  |B|Fővárosi közgyűlési lista                         |00111000|SZABAD DEMOKRATÁK SZÖVETSÉGE  |078|    SCHWARTZ ANTALNÉ                    |3|nem nyert
