04|BÉKÉS     |004|BÉKÉSCSABA          |000002|CIGÁNY                        |1|eredményes               |00000772|000005|00000348
04|BÉKÉS     |004|BÉKÉSCSABA          |000008|ROMÁN                         |1|eredményes               |00001769|000005|00000726
04|BÉKÉS     |004|BÉKÉSCSABA          |000011|SZLOVÁK                       |1|eredményes               |00018177|000005|00007265
04|BÉKÉS     |011|CSABASZABADI        |000011|SZLOVÁK                       |1|eredményes               |00000484|000003|00000204
04|BÉKÉS     |016|DOBOZ               |000002|CIGÁNY                        |1|eredményes               |00001672|000005|00000786
04|BÉKÉS     |020|ELEK                |000002|CIGÁNY                        |1|eredményes               |00000510|000005|00000213
04|BÉKÉS     |020|ELEK                |000006|NÉMET                         |1|eredményes               |00001505|000005|00000450
04|BÉKÉS     |020|ELEK                |000008|ROMÁN                         |1|eredményes               |00001234|000005|00000404
04|BÉKÉS     |021|FÜZESGYARMAT        |000002|CIGÁNY                        |1|eredményes               |00003643|000005|00001139
04|BÉKÉS     |022|GÁDOROS             |000002|CIGÁNY                        |1|eredményes               |00001038|000005|00000723
04|BÉKÉS     |025|GYOMAENDRŐD         |000002|CIGÁNY                        |1|eredményes               |00003500|000005|00002477
04|BÉKÉS     |026|GYULA               |000006|NÉMET                         |1|eredményes               |00008213|000005|00003511
04|BÉKÉS     |026|GYULA               |000008|ROMÁN                         |1|eredményes               |00003984|000005|00001593
04|BÉKÉS     |034|KÉTEGYHÁZA          |000002|CIGÁNY                        |0|eredménytelen            |00000097|000000|00000046
04|BÉKÉS     |034|KÉTEGYHÁZA          |000008|ROMÁN                         |1|eredményes               |00004466|000005|00001249
04|BÉKÉS     |041|KÖRÖSÚJFALU         |000002|CIGÁNY                        |1|eredményes               |00000138|000003|00000129
04|BÉKÉS     |044|LÖKÖSHÁZA           |000002|CIGÁNY                        |1|eredményes               |00000612|000005|00000407
04|BÉKÉS     |049|MEZŐBERÉNY          |000002|CIGÁNY                        |1|eredményes               |00000714|000005|00000290
04|BÉKÉS     |049|MEZŐBERÉNY          |000006|NÉMET                         |1|eredményes               |00002497|000005|00001000
04|BÉKÉS     |049|MEZŐBERÉNY          |000011|SZLOVÁK                       |1|eredményes               |00002657|000005|00001117
04|BÉKÉS     |050|MEZŐGYÁN            |000002|CIGÁNY                        |1|eredményes               |00001233|000005|00000434
04|BÉKÉS     |053|MÉHKERÉK            |000008|ROMÁN                         |1|eredményes               |00005053|000005|00001159
04|BÉKÉS     |059|OROSHÁZA            |000002|CIGÁNY                        |1|eredményes               |00005395|000005|00003009
04|BÉKÉS     |061|PUSZTAFÖLDVÁR       |000002|CIGÁNY                        |1|eredményes               |00000500|000005|00000283
04|BÉKÉS     |062|PUSZTAOTTLAKA       |000008|ROMÁN                         |1|eredményes               |00000392|000003|00000175
04|BÉKÉS     |062|PUSZTAOTTLAKA       |000011|SZLOVÁK                       |0|eredménytelen            |00000095|000000|00000046
04|BÉKÉS     |063|SARKAD              |000002|CIGÁNY                        |1|eredményes               |00002630|000005|00001754
04|BÉKÉS     |066|SZARVAS             |000002|CIGÁNY                        |1|eredményes               |00000319|000005|00000227
04|BÉKÉS     |066|SZARVAS             |000011|SZLOVÁK                       |1|eredményes               |00009792|000005|00004292
04|BÉKÉS     |067|SZEGHALOM           |000002|CIGÁNY                        |1|eredményes               |00002908|000005|00001522
04|BÉKÉS     |069|TELEKGERENDÁS       |000011|SZLOVÁK                       |1|eredményes               |00001652|000005|00000489
04|BÉKÉS     |070|TÓTKOMLÓS           |000011|SZLOVÁK                       |1|eredményes               |00008774|000005|00002352
04|BÉKÉS     |073|VÉGEGYHÁZA          |000002|CIGÁNY                        |1|eredményes               |00001281|000005|00000426
04|BÉKÉS     |074|VÉSZTŐ              |000002|CIGÁNY                        |1|eredményes               |00003196|000005|00001073
05|BORSOD-A-Z|004|ABAÚJSZÁNTÓ         |000002|CIGÁNY                        |1|eredményes               |00001762|000005|00000684
05|BORSOD-A-Z|017|ALSÓZSOLCA          |000002|CIGÁNY                        |1|eredményes               |00004932|000005|00001469
05|BORSOD-A-Z|019|ARLÓ                |000002|CIGÁNY                        |1|eredményes               |00002479|000005|00000918
05|BORSOD-A-Z|020|ARNÓT               |000002|CIGÁNY                        |1|eredményes               |00001623|000005|00000555
05|BORSOD-A-Z|021|ASZALÓ              |000002|CIGÁNY                        |1|eredményes               |00000687|000005|00000310
05|BORSOD-A-Z|023|BAKTAKÉK            |000002|CIGÁNY                        |1|eredményes               |00000343|000003|00000205
05|BORSOD-A-Z|026|BÁNRÉVE             |000002|CIGÁNY                        |1|eredményes               |00000484|000005|00000273
05|BORSOD-A-Z|030|BERZÉK              |000002|CIGÁNY                        |1|eredményes               |00000562|000003|00000259
05|BORSOD-A-Z|037|BOLDOGKŐVÁRALJA     |000002|CIGÁNY                        |1|eredményes               |00001228|000003|00000469
05|BORSOD-A-Z|038|BOLDVA              |000002|CIGÁNY                        |1|eredményes               |00001191|000005|00000454
