1|01|BUDAPEST  |14|06|    |NAGYIVÁNYI ZOLTÁN                   |00013493|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |14|07|    |RÉVÉSZ MÁRIUSZ                      |00002922|FIDESZ                                                                    
1|01|BUDAPEST  |14|08|    |VARGA TÓTH JÓZSEF                   |00001410|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |15|01|    |BÉRES SÁNDOR                        |00000993|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |15|02|DR. |CSAPODY MIKLÓS                      |00009075|MDF                                                                       
1|01|BUDAPEST  |15|03|DR. |CSIHA JUDIT                         |00009233|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |15|04|    |FARKAS FERENC                       |00001091|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |15|05|DR. |GRIGÁSSY LÁSZLÓ                     |00002154|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |15|06|    |LÁNYI ZSOLT                         |00001116|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |15|07|DR. |LINCZÉNYI ADORJÁN                   |00001404|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |15|08|DR. |NEHÉZ-POSONY ISTVÁN                 |00005869|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |15|09|    |SASVÁRI SZILÁRD                     |00002309|FIDESZ                                                                    
1|01|BUDAPEST  |16|01|    |BATÓ ANDRÁS                         |00002242|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |16|02|DR. |BOMBERA GÉZA                        |00001935|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |16|03|    |FÁBIÁN TAMÁS                        |00002454|FIDESZ                                                                    
1|01|BUDAPEST  |16|04|    |KOCSIS SÁNDOR                       |00001266|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |16|05|    |LAKOS IMRE                          |00006810|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |16|06|DR. |LÁSZLÓ JENŐ                         |00001559|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |16|07|    |LISINSZKYNÉ REZSABEK JOLÁN          |00001323|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |16|08|    |MOLNÁR GYULA                        |00012525|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |16|09|DR. |PERJÉS GÁBOR                        |00006004|MDF                                                                       
1|01|BUDAPEST  |16|10|    |UZONI PÉTER                         |00001628|AGRÁRSZÖVETSÉG                                                            
1|01|BUDAPEST  |17|01|DR. |BAJNOK ISTVÁN                       |00002488|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |17|02|DR. |BIHARI MIHÁLY                       |00008916|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |17|03|DR. |FENYVESSY ZOLTÁN                    |00001930|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |17|04|DR. |HACK PÉTER                          |00006387|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |17|05|DR. |JUHOS KATALIN                       |00002295|FIDESZ                                                                    
1|01|BUDAPEST  |17|06|DR. |KÁTAY ZOLTÁN                        |00004997|MDF                                                                       
1|01|BUDAPEST  |18|01|DR. |DEÁK JÓZSEF                         |00001387|FÜGGETLEN KISGAZDAPÁRT                                                    
1|01|BUDAPEST  |18|02|    |FEKETE GYÖRGY                       |00010485|MDF                                                                       
1|01|BUDAPEST  |18|03|DR. |GÁL ZOLTÁN                          |00012019|MAGYAR SZOCIALISTA PÁRT                                                   
1|01|BUDAPEST  |18|04|DR. |KOSZTOLÁNYI DÉNES                   |00002791|FIDESZ                                                                    
1|01|BUDAPEST  |18|05|DR. |KOVÁCS ISTVÁN                       |00002660|KÖZTÁRSASÁG PÁRT                                                          
1|01|BUDAPEST  |18|06|DR. |KOVÁTS TIBOR                        |00002520|MAGYAR IGAZSÁG ÉS ÉLET PÁRTJA                                             
1|01|BUDAPEST  |18|07|    |LUKÁTS MIKLÓS                       |00004544|KERESZTÉNYDEMOKRATA NÉPPÁRT                                               
1|01|BUDAPEST  |18|08|    |SZENT-IVÁNYI      ISTVÁN            |00009058|SZABAD DEMOKRATÁK SZÖVETSÉGE                                              
1|01|BUDAPEST  |18|09|    |WAGNER ISTVÁN                       |00001125|MUNKÁSPÁRT                                                                
1|01|BUDAPEST  |19|01|    |BÁBA IVÁN                           |00005529|MDF                                                                       
1|01|BUDAPEST  |19|02|DR. |BÁRÁNY GYULA                        |00001305|MUNKÁSPÁRT                                                                
