1|01|BUDAPEST                 |11|    |KÓSÁNÉ            KOVÁCS MAGDA                              |00003150|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |11|DR. |SZIRTESNÉ         TOMSITS ERIKA                             |00002790|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |12|    |FEKETE SÁNDOR                                               |00002604|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |12|DR. |DÉKÁNY FERENC                                               |00001411|FÜGG.KISGAZDA FÖLDM. POLG. P. 
1|01|BUDAPEST                 |12|DR. |SZABÓ IVÁN                                                  |00005932|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |12|DR. |TALLÓSSY FRIGYES                                            |00002996|HAZAFIAS VÁLASZTÁSI KOALÍCIÓ  
1|01|BUDAPEST                 |12|    |FÜREDI MIKLÓS     GÁBOR                                     |00001614|KERESZTÉNYDEMOKRATA NÉPPÁRT   
1|01|BUDAPEST                 |12|DR. |TÖLGYESSY PÉTER                                             |00008808|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |12|    |TIRTS TAMÁS                                                 |00002697|FIATAL DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |13|    |RÓBERT LÁSZLÓ                                               |00003596|MAGYAR SZOCIALISTA PÁRT       
1|01|BUDAPEST                 |13|    |SZÉCHY ANDRÁS                                               |00001447|MAGYAR SZOCIALISTA MUNKÁSPÁRT 
1|01|BUDAPEST                 |13|    |SZABÓ MIKLÓS                                                |00005147|SZABAD DEMOKRATÁK SZÖVETSÉGE  
1|01|BUDAPEST                 |13|DR. |ZACSEK GYULA                                                |00009937|MAGYAR DEMOKRATA FÓRUM        
1|01|BUDAPEST                 |13|    |BOROS LÁSZLÓ                                                |00000964|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |13|    |SZALAY TAMÁS                                                |00001319|FÜGGETLEN JELÖLT              
1|01|BUDAPEST                 |13|DR. |ORBÁN VIKTOR                                                |00005720|FIATAL DEMOKRATÁK SZÖVETSÉGE  
